county_fips,Population 2020
27111,"60,081"
27113,"13,992"
27115,"28,876"
27117,"9,424"
27119,"31,192"
27121,"11,308"
27123,"552,352"
27125,"3,935"
27127,"15,425"
27129,"14,723"
27131,"67,097"
27133,"9,704"
27135,"15,331"
27137,"200,231"
27139,"150,928"
27141,"97,183"
27143,"14,836"
27145,"158,292"
27147,"37,406"
27149,"9,671"
27151,"9,838"
27153,"25,262"
27155,"3,360"
27157,"21,387"
27159,"14,065"
27161,"18,968"
27163,"267,568"
27165,"11,253"
27167,"6,506"
27169,"49,671"
27171,"141,337"
27173,"9,528"
28000,"2,961,279"
28001,"29,538"
28003,"34,740"
28005,"12,720"
28007,"17,889"
28009,"7,646"
28011,"30,985"
28013,"13,266"
28015,"9,998"
28017,"17,106"
28019,"8,246"
28021,"9,135"
28023,"15,615"
28025,"18,636"
28027,"21,390"
28029,"28,368"
28031,"18,340"
28033,"185,314"
28035,"78,158"
28037,"7,675"
28039,"24,350"
28041,"13,530"
28043,"21,629"
28045,"46,053"
28047,"208,621"
28049,"227,742"
28051,"17,000"
28053,"7,785"
28055,"1,338"
28057,"23,863"
28059,"143,252"
28061,"16,367"
28063,"7,260"
28065,"11,321"
28067,"67,246"
28069,"8,988"
28071,"55,813"
28073,"64,222"
28075,"72,984"
28077,"12,016"
28079,"21,275"
28081,"83,343"
28083,"28,339"
28085,"34,907"
28087,"58,879"
28089,"109,145"
28091,"24,441"
28093,"33,752"
28095,"34,180"
28097,"9,822"
28099,"29,087"
28101,"21,291"
28103,"10,285"
28105,"51,788"
28107,"33,208"
28109,"56,145"
28111,"11,511"
28113,"40,324"
28115,"31,184"
28117,"25,008"
28119,"6,176"
28121,"157,031"
28123,"27,990"
28125,"3,800"
28127,"25,949"
28129,"14,209"
28131,"18,333"
28133,"25,971"
28135,"12,715"
28137,"28,064"
28139,"21,815"
28141,"18,850"
28143,"9,782"
28145,"27,777"
28147,"13,884"
28149,"44,722"
28151,"44,922"
28153,"19,779"
28155,"9,926"
28157,"8,587"
28159,"17,714"
28161,"12,481"
28163,"26,743"
29000,"6,154,913"
29001,"25,314"
29003,"18,135"
29005,"5,305"
29007,"24,962"
29009,"34,534"
29011,"11,637"
29013,"16,042"
29015,"19,394"
29017,"10,567"
29019,"183,610"
29021,"84,793"
29023,"42,130"
29025,"8,815"
29027,"44,283"
29029,"42,745"
29031,"81,710"
29033,"8,495"
29035,"5,202"
29037,"107,824"
29039,"14,188"
29041,"7,408"
29043,"88,842"
29045,"6,634"
29047,"253,335"
29049,"21,184"
29051,"77,279"
29053,"17,103"
29055,"23,056"
29057,"7,569"
29059,"17,071"
